Flex 1: 1, Flex 2: 1, Flex 3: 1, Flex 4: 0
Accelerometer 1, Raw: X - -1, Y - -1, Z - -1
Accelerometer 1, Scaled: X - -0.01g, Y - -0.01g, Z - -0.01g

Accelerometer 2, Raw: X - 5, Y - -19, Z - 121
Accelerometer 2, Scaled: X - 0.04g, Y - -0.15g, Z - 0.94g

Flex 1: 0, Flex 2: 0, Flex 3: 0, Flex 4: 0
Accelerometer 1, Raw: X - -1, Y - -1, Z - -1
Accelerometer 1, Scaled: X - -0.01g, Y - -0.01g, Z - -0.01g

Accelerometer 2, Raw: X - 3, Y - -20, Z - 112
Accelerometer 2, Scaled: X - 0.02g, Y - -0.16g, Z - 0.87g

Flex 1: 0, Flex 2: 1, Flex 3: 0, Flex 4: 0
Accelerometer 1, Raw: X - -1, Y - -1, Z - -1
Accelerometer 1, Scaled: X - -0.01g, Y - -0.01g, Z - -0.01g

Accelerometer 2, Raw: X - 2, Y - -21, Z - 111
Accelerometer 2, Scaled: X - 0.02g, Y - -0.16g, Z - 0.87g

Flex 1: 0, Flex 2: 0, Flex 3: 0, Flex 4: 0
Accelerometer 1, Raw: X - -1, Y - -1, Z - -1
Accelerometer 1, Scaled: X - -0.01g, Y - -0.01g, Z - -0.01g

Accelerometer 2, Raw: X - 1, Y - -20, Z - 112
Accelerometer 2, Scaled: X - 0.01g, Y - -0.16g, Z - 0.87g

Flex 1: 0, Flex 2: 0, Flex 3: 0, Flex 4: 0
Accelerometer 1, Raw: X - -1, Y - -1, Z - -1
Accelerometer 1, Scaled: X - -0.01g, Y - -0.01g, Z - -0.01g

Accelerometer 2, Raw: X - 2, Y - -20, Z - 112
Accelerometer 2, Scaled: X - 0.02g, Y - -0.16g, Z - 0.87g

Flex 1: 0, Flex 2: 0, Flex 3: 0, Flex 4: 0
Accelerometer 1, Raw: X - -1, Y - -1, Z - -1
Accelerometer 1, Scaled: X - -0.01g, Y - -0.01g, Z - -0.01g

Accelerometer 2, Raw: X - 3, Y - -21, Z - 112
Accelerometer 2, Scaled: X - 0.02g, Y - -0.16g, Z - 0.87g

Flex 1: 0, Flex 2: 1, Flex 3: 0, Flex 4: 0
Accelerometer 1, Raw: X - -1, Y - -1, Z - -1
Accelerometer 1, Scaled: X - -0.01g, Y - -0.01g, Z - -0.01g

Accelerometer 2, Raw: X - 1, Y - -20, Z - 112
Accelerometer 2, Scaled: X - 0.01g, Y - -0.16g, Z - 0.87g

Flex 1: 0, Flex 2: 0, Flex 3: 0, Flex 4: 0
Accelerometer 1, Raw: X - -1, Y - -1, Z - -1
